make,model,year,engine_size,mileage,fuel_type,transmission,price,source
Bmw,Model D,2005,3.9,102439.0,Diesel,Manual,24316.619114598845,huggingface
Audi,Model B,2010,4.0,188250.0,Petrol,Manual,18702.31108185261,huggingface
Bmw,Model E,2020,1.4,135948.0,Electric,Manual,23658.845547442936,huggingface
Audi,Model E,2009,3.0,90692.0,Electric,Manual,25898.638129042192,huggingface
Toyota,Model C,2003,3.8,161943.0,Electric,Automatic,23149.99115410129,huggingface
Ford,Model E,2008,1.4,96442.0,Electric,Manual,22334.556153139325,huggingface
Honda,Model E,2011,1.3,102829.0,Diesel,Automatic,22931.23903143385,huggingface
Toyota,Model A,2009,3.9,112631.0,Electric,Manual,21691.070673785747,huggingface
Honda,Model E,2013,3.8,44895.0,Petrol,Manual,32969.07803719844,huggingface
Ford,Model D,2004,2.6,43760.0,Diesel,Automatic,25859.533282266377,huggingface
Ford,Model C,2000,1.4,46306.0,Petrol,Automatic,20624.09934151608,huggingface
Toyota,Model B,2004,2.8,75179.0,Diesel,Automatic,23380.822055592776,huggingface
Ford,Model B,2015,2.4,147659.0,Diesel,Manual,24928.009045116123,huggingface
Audi,Model A,2004,2.8,76554.0,Diesel,Manual,25228.30652181894,huggingface
Ford,Model B,2004,2.5,135285.0,Petrol,Automatic,19130.218213596065,huggingface
Honda,Model B,2017,3.0,141116.0,Petrol,Manual,27197.735195960267,huggingface
Honda,Model C,2005,3.5,131015.0,Electric,Manual,21336.04559735375,huggingface
Honda,Model C,2020,3.7,44425.0,Petrol,Automatic,34210.24518293939,huggingface
Honda,Model D,2017,3.3,152448.0,Electric,Automatic,26706.74372033424,huggingface
Audi,Model A,2009,1.7,22590.0,Diesel,Automatic,26996.547457461587,huggingface
Bmw,Model B,2014,2.4,43403.0,Electric,Manual,27635.072269120377,huggingface
Toyota,Model D,2021,1.2,26628.0,Petrol,Automatic,30330.08169152706,huggingface
Honda,Model A,2010,2.6,89421.0,Diesel,Automatic,25392.037495957196,huggingface
Ford,Model B,2018,4.4,105763.0,Diesel,Manual,31253.83714586442,huggingface
Honda,Model B,2012,3.2,133264.0,Electric,Automatic,25049.518575988208,huggingface
Ford,Model C,2019,1.5,152505.0,Electric,Manual,21493.900474444585,huggingface
Ford,Model E,2002,1.9,84629.0,Petrol,Automatic,20669.496893182197,huggingface
Honda,Model A,2015,1.2,124062.0,Diesel,Automatic,21479.38730796656,huggingface
Audi,Model B,2006,1.6,30617.0,Electric,Manual,20909.67272068806,huggingface
Ford,Model A,2011,2.7,107454.0,Diesel,Automatic,25105.56111271462,huggingface
Ford,Model D,2014,2.2,162754.0,Petrol,Automatic,22937.504202569733,huggingface
Honda,Model D,2007,1.7,10250.0,Diesel,Automatic,26258.158299310257,huggingface
Ford,Model E,2016,1.5,32836.0,Electric,Manual,29258.54199729696,huggingface
Ford,Model B,2000,3.3,112319.0,Petrol,Manual,20829.77073430969,huggingface
Honda,Model C,2020,3.0,67173.0,Petrol,Automatic,34578.17523031844,huggingface
Honda,Model B,2007,3.9,127939.0,Diesel,Manual,25574.0009351672,huggingface
Toyota,Model A,2013,1.6,106761.0,Electric,Manual,25239.037982678903,huggingface
Audi,Model D,2009,4.0,6251.0,Diesel,Manual,32333.554678844543,huggingface
Audi,Model A,2018,3.0,101429.0,Diesel,Manual,30660.131570751026,huggingface
Ford,Model E,2007,1.9,56246.0,Diesel,Automatic,22628.271425262166,huggingface
Audi,Model D,2018,2.0,164078.0,Electric,Automatic,25093.36671426033,huggingface
Ford,Model C,2003,2.4,86966.0,Diesel,Automatic,23276.76780489936,huggingface
Toyota,Model D,2009,2.6,171857.0,Diesel,Automatic,19686.88780454199,huggingface
Honda,Model B,2002,1.3,137536.0,Petrol,Manual,18473.099287670597,huggingface
Honda,Model B,2003,3.9,67344.0,Petrol,Automatic,24260.762749662077,huggingface
Honda,Model D,2015,1.4,141353.0,Petrol,Automatic,23180.238407093395,huggingface
Audi,Model E,2003,2.7,50106.0,Electric,Automatic,21369.61966386018,huggingface
Toyota,Model B,2019,2.3,121720.0,Diesel,Automatic,28618.20724327898,huggingface
Audi,Model B,2019,2.8,94840.0,Diesel,Automatic,31808.253784042998,huggingface
Audi,Model C,2012,4.1,105293.0,Petrol,Automatic,27884.74357094479,huggingface
Toyota,Model D,2020,4.5,176112.0,Diesel,Manual,26532.316754187632,huggingface
Toyota,Model B,2016,1.1,8998.0,Electric,Manual,28823.58217592883,huggingface
Toyota,Model E,2015,2.4,145589.0,Diesel,Automatic,22250.79417416563,huggingface
Toyota,Model A,2016,3.9,106083.0,Petrol,Automatic,29679.92919474606,huggingface
Honda,Model D,2005,2.1,185354.0,Electric,Automatic,18103.61276436505,huggingface
Bmw,Model C,2002,3.3,42866.0,Diesel,Manual,25401.399403746665,huggingface
Bmw,Model B,2019,4.5,113384.0,Diesel,Manual,28726.524780548032,huggingface
Toyota,Model E,2003,3.3,22969.0,Diesel,Automatic,25300.872732671287,huggingface
Bmw,Model D,2007,1.4,100980.0,Electric,Automatic,20663.469269711,huggingface
Bmw,Model E,2019,4.0,146855.0,Diesel,Manual,31928.13923870994,huggingface
Toyota,Model E,2008,4.4,118259.0,Petrol,Automatic,25591.642554144928,huggingface
Bmw,Model C,2021,3.5,31107.0,Petrol,Automatic,35940.29669051099,huggingface
Audi,Model D,2000,2.5,176703.0,Petrol,Manual,15517.015980354196,huggingface
Ford,Model B,2012,4.3,134831.0,Petrol,Manual,25684.46886297516,huggingface
Ford,Model C,2001,4.4,14789.0,Electric,Manual,26652.9956533159,huggingface
Toyota,Model B,2009,4.3,13214.0,Petrol,Automatic,31056.782569098013,huggingface
Honda,Model A,2018,2.4,70657.0,Petrol,Manual,31811.282876736284,huggingface
Toyota,Model E,2016,3.8,29482.0,Petrol,Manual,31570.86808455576,huggingface
Honda,Model A,2012,3.3,163544.0,Electric,Automatic,23063.04602600544,huggingface
Ford,Model E,2013,1.6,74536.0,Electric,Manual,23774.25752248025,huggingface
Toyota,Model C,2010,2.9,48187.0,Diesel,Manual,30000.8777354063,huggingface
Audi,Model B,2009,3.6,31087.0,Petrol,Manual,29913.00449727867,huggingface
Bmw,Model B,2006,4.1,941.0,Diesel,Automatic,32894.25609903656,huggingface
Honda,Model C,2009,4.0,119340.0,Electric,Automatic,20201.00328754233,huggingface
Bmw,Model D,2000,1.5,132393.0,Diesel,Manual,17235.888814705642,huggingface
Bmw,Model A,2013,2.7,194539.0,Electric,Automatic,19373.3789225882,huggingface
Toyota,Model A,2002,2.7,45972.0,Diesel,Automatic,21921.888301183622,huggingface
Bmw,Model B,2012,4.1,199676.0,Petrol,Automatic,22837.32061154598,huggingface
Audi,Model B,2001,1.0,86658.0,Electric,Manual,17129.65220580821,huggingface
Bmw,Model B,2016,3.6,39361.0,Electric,Automatic,32198.235491419837,huggingface
Toyota,Model C,2020,3.2,41354.0,Electric,Automatic,31911.05162055168,huggingface
Audi,Model D,2002,4.2,66327.0,Petrol,Automatic,24874.045021715265,huggingface
Ford,Model A,2014,2.6,192049.0,Petrol,Manual,21407.192761802267,huggingface
Bmw,Model E,2007,3.3,47191.0,Electric,Automatic,23435.123205907992,huggingface
Toyota,Model C,2005,4.4,55828.0,Electric,Automatic,28197.239901718134,huggingface
Ford,Model A,2008,3.6,10136.0,Petrol,Automatic,29720.2671213742,huggingface
Ford,Model D,2010,1.2,146819.0,Petrol,Automatic,19443.49710916604,huggingface
Honda,Model C,2021,1.6,66279.0,Petrol,Manual,28391.32792398453,huggingface
Audi,Model A,2001,3.9,72060.0,Petrol,Automatic,23747.79618417959,huggingface
Bmw,Model C,2008,2.2,39342.0,Petrol,Manual,21095.341711706456,huggingface
Toyota,Model A,2017,3.5,196118.0,Petrol,Automatic,23616.40964396573,huggingface
Honda,Model A,2018,3.4,81851.0,Diesel,Manual,29809.901257293397,huggingface
Audi,Model D,2021,4.5,176404.0,Petrol,Automatic,29579.681290580414,huggingface
Honda,Model E,2017,2.6,32961.0,Petrol,Manual,30992.067486192027,huggingface
Audi,Model D,2004,3.6,106198.0,Electric,Manual,24797.828248806927,huggingface
Audi,Model A,2017,1.2,69810.0,Electric,Manual,24185.484458897387,huggingface
Bmw,Model C,2011,2.6,29838.0,Diesel,Automatic,29649.575772155957,huggingface
Audi,Model D,2003,1.7,14332.0,Petrol,Manual,27190.23932396314,huggingface
Honda,Model E,2014,3.9,63001.0,Electric,Automatic,29674.05458369849,huggingface
Audi,Model A,2010,3.9,90329.0,Electric,Manual,28749.432388831807,huggingface
Bmw,Model D,2018,1.8,167422.0,Diesel,Automatic,26095.045718455734,huggingface
Bmw,Model D,2004,2.1,119771.0,Petrol,Automatic,22023.655359897828,huggingface
Honda,Model D,2005,3.5,80954.0,Electric,Manual,23869.57495821065,huggingface
Ford,Model D,2012,3.6,48473.0,Petrol,Automatic,31940.94049277859,huggingface
Ford,Model C,2009,3.3,171969.0,Diesel,Automatic,23221.277892331207,huggingface
Audi,Model E,2013,4.5,11682.0,Diesel,Manual,36327.54965960998,huggingface
Toyota,Model E,2003,4.0,152799.0,Petrol,Automatic,22240.467148711235,huggingface
Audi,Model A,2019,2.5,187741.0,Diesel,Automatic,26452.70880046822,huggingface
Honda,Model B,2011,2.1,43775.0,Electric,Automatic,26058.27203083123,huggingface
Honda,Model C,2014,3.1,56941.0,Diesel,Manual,28435.265387305182,huggingface
Honda,Model A,2009,3.9,12115.0,Diesel,Automatic,26334.16829268886,huggingface
Honda,Model A,2010,2.7,50937.0,Petrol,Manual,26007.793133102437,huggingface
Honda,Model D,2008,3.6,45132.0,Electric,Manual,27323.19742902074,huggingface
Bmw,Model B,2010,1.1,193110.0,Petrol,Manual,12937.51696390268,huggingface
Ford,Model B,2001,4.2,12025.0,Petrol,Manual,27388.191722420743,huggingface
Honda,Model C,2012,3.7,95439.0,Petrol,Automatic,29773.123327079767,huggingface
Toyota,Model B,2021,2.4,58526.0,Diesel,Automatic,29548.28817277829,huggingface
Toyota,Model A,2007,2.3,147979.0,Diesel,Automatic,23445.93054714868,huggingface
Toyota,Model B,2020,1.4,68832.0,Petrol,Automatic,29100.49601173867,huggingface
Toyota,Model B,2020,3.9,56108.0,Diesel,Automatic,35683.31811542116,huggingface
Bmw,Model E,2007,3.7,151935.0,Diesel,Manual,22205.45686531455,huggingface
Toyota,Model A,2000,3.2,136757.0,Petrol,Manual,16782.785601915268,huggingface
Honda,Model B,2005,1.4,6647.0,Electric,Manual,25052.750838933476,huggingface
Audi,Model B,2012,1.9,30145.0,Electric,Automatic,28812.433182050205,huggingface
Toyota,Model D,2008,2.6,171634.0,Diesel,Manual,19275.10236141427,huggingface
Bmw,Model B,2005,1.9,103894.0,Electric,Automatic,20616.080027904783,huggingface
Bmw,Model B,2014,2.5,151839.0,Electric,Automatic,23395.539009746582,huggingface
Toyota,Model E,2015,1.8,98702.0,Diesel,Automatic,23864.412285451363,huggingface
Audi,Model A,2003,2.2,116839.0,Electric,Manual,19714.51794842849,huggingface
Toyota,Model C,2016,3.3,5430.0,Diesel,Manual,31917.66330415619,huggingface
Bmw,Model A,2008,4.1,134952.0,Petrol,Manual,25980.21223023151,huggingface
Ford,Model D,2011,2.3,65662.0,Electric,Manual,30454.17229117138,huggingface
Honda,Model A,2021,3.4,116775.0,Petrol,Manual,32660.054272794856,huggingface
Bmw,Model B,2018,1.5,60487.0,Petrol,Automatic,27605.512151052146,huggingface
Toyota,Model D,2019,2.9,39793.0,Diesel,Manual,33009.4363514977,huggingface
Honda,Model A,2011,4.2,113584.0,Electric,Manual,29487.498997326496,huggingface
Toyota,Model D,2021,1.1,110549.0,Electric,Manual,25979.480480147264,huggingface
Toyota,Model C,2005,1.9,57590.0,Electric,Automatic,23537.327525078334,huggingface
Ford,Model A,2011,1.5,71461.0,Electric,Manual,25362.866300688373,huggingface
Honda,Model B,2008,2.9,52470.0,Diesel,Manual,26700.68199579764,huggingface
Honda,Model D,2019,3.4,198689.0,Petrol,Automatic,25745.81818878662,huggingface
Ford,Model E,2004,1.2,63616.0,Electric,Manual,22321.620299369886,huggingface
Bmw,Model D,2020,1.2,100361.0,Electric,Automatic,29847.47497211876,huggingface
Toyota,Model E,2002,4.0,169743.0,Diesel,Automatic,19334.685250557883,huggingface
Audi,Model B,2001,2.6,136407.0,Electric,Manual,20360.35098538313,huggingface
Toyota,Model C,2007,2.6,68525.0,Electric,Manual,21299.173043197683,huggingface
Toyota,Model E,2009,4.3,105879.0,Petrol,Manual,27774.49462835881,huggingface
Bmw,Model C,2014,2.1,93709.0,Electric,Automatic,21151.89739636011,huggingface
Toyota,Model D,2008,4.1,71257.0,Electric,Manual,26089.929899899296,huggingface
Ford,Model B,2009,4.4,187302.0,Petrol,Automatic,20863.304438137224,huggingface
Ford,Model E,2010,1.8,2728.0,Electric,Automatic,30738.31558706691,huggingface
Honda,Model D,2008,2.8,83511.0,Petrol,Manual,23859.13158852889,huggingface
Audi,Model A,2013,2.9,22167.0,Diesel,Manual,30094.58820759785,huggingface
Toyota,Model D,2004,4.0,167001.0,Petrol,Automatic,20209.42454723886,huggingface
Toyota,Model C,2008,2.1,73711.0,Petrol,Manual,20622.00375048565,huggingface
Bmw,Model B,2003,3.8,168469.0,Electric,Automatic,20250.30200117404,huggingface
Ford,Model B,2001,4.4,126218.0,Electric,Manual,22141.59470361047,huggingface
Audi,Model D,2018,3.9,193320.0,Electric,Manual,24509.701356739468,huggingface
Honda,Model A,2000,4.2,178608.0,Electric,Manual,21229.142336761743,huggingface
Ford,Model C,2020,3.5,72437.0,Petrol,Manual,35075.21602354963,huggingface
Honda,Model D,2000,4.2,76426.0,Diesel,Automatic,21063.34534159741,huggingface
Bmw,Model D,2011,1.6,76851.0,Electric,Automatic,22483.921207879943,huggingface
Bmw,Model B,2010,3.5,80962.0,Petrol,Automatic,27891.57984470321,huggingface
Toyota,Model C,2000,3.6,162388.0,Diesel,Automatic,17150.621968671705,huggingface
Audi,Model A,2013,2.5,35065.0,Diesel,Automatic,28311.53030954697,huggingface
Honda,Model B,2010,1.3,120138.0,Diesel,Automatic,18557.8707217234,huggingface
Ford,Model D,2006,3.2,80286.0,Petrol,Manual,22370.2878248884,huggingface
Bmw,Model B,2001,1.2,23674.0,Electric,Manual,19676.18799107759,huggingface
Toyota,Model B,2014,2.3,119632.0,Petrol,Automatic,24880.217100889025,huggingface
Toyota,Model E,2007,2.4,26085.0,Electric,Automatic,26391.751808607754,huggingface
Honda,Model B,2021,4.5,38086.0,Diesel,Automatic,34962.18087467967,huggingface
Bmw,Model B,2019,2.0,114700.0,Diesel,Automatic,24467.369113731067,huggingface
Audi,Model C,2014,3.9,63493.0,Petrol,Automatic,28141.273104844306,huggingface
Bmw,Model B,2007,1.2,184258.0,Diesel,Automatic,17664.869892457184,huggingface
Honda,Model A,2009,2.9,48248.0,Petrol,Manual,31137.98026237901,huggingface
Honda,Model D,2018,2.9,26156.0,Electric,Manual,33352.56021521217,huggingface
Bmw,Model C,2002,3.2,100355.0,Diesel,Automatic,16248.317087748328,huggingface
Honda,Model B,2019,3.8,134948.0,Electric,Automatic,30489.107293106787,huggingface
Bmw,Model A,2013,3.7,186354.0,Diesel,Manual,25953.34127109343,huggingface
Ford,Model D,2008,3.7,71963.0,Electric,Manual,25503.38130537423,huggingface
Bmw,Model C,2008,2.5,176849.0,Diesel,Manual,20917.02698923728,huggingface
Bmw,Model A,2020,3.5,48119.0,Electric,Manual,35737.03211598711,huggingface
Honda,Model B,2005,2.7,198431.0,Diesel,Manual,19556.665924828874,huggingface
Honda,Model E,2007,1.2,101044.0,Petrol,Automatic,18675.995344280946,huggingface
Toyota,Model E,2010,4.1,100092.0,Electric,Manual,27345.602768574947,huggingface
Toyota,Model C,2007,4.1,116640.0,Electric,Manual,25231.78731955397,huggingface
Ford,Model A,2011,2.1,146713.0,Petrol,Manual,24001.380595892355,huggingface
Toyota,Model D,2009,4.2,76432.0,Petrol,Manual,27259.216721713143,huggingface
Bmw,Model A,2003,3.7,189367.0,Petrol,Manual,20315.378753269182,huggingface
Honda,Model E,2015,2.4,78451.0,Diesel,Manual,27922.61276836547,huggingface
Toyota,Model C,2019,2.2,85340.0,Petrol,Manual,30552.958534942325,huggingface
Toyota,Model B,2005,4.4,19411.0,Diesel,Manual,30845.830926289236,huggingface
Ford,Model A,2008,3.5,134173.0,Diesel,Manual,21980.10477341919,huggingface
Ford,Model E,2004,2.3,28536.0,Petrol,Manual,24711.34037420292,huggingface
Bmw,Model D,2020,3.2,3588.0,Petrol,Manual,33839.640688801985,huggingface
Honda,Model C,2005,3.0,145781.0,Diesel,Automatic,20164.609426170045,huggingface
Ford,Model B,2016,2.8,87657.0,Electric,Manual,31713.317848943,huggingface
Toyota,Model A,2016,3.3,132489.0,Electric,Manual,26128.25749713337,huggingface
Honda,Model D,2021,2.9,20293.0,Petrol,Automatic,33063.32469359213,huggingface
Honda,Model B,2012,3.3,53897.0,Electric,Manual,28535.59477977924,huggingface
Toyota,Model E,2016,4.2,44649.0,Diesel,Manual,34518.15397900455,huggingface
Ford,Model E,2013,4.5,35540.0,Electric,Manual,34058.58591322308,huggingface
Toyota,Model D,2001,3.5,62251.0,Diesel,Automatic,24107.895478577124,huggingface
Honda,Model E,2018,4.2,119863.0,Petrol,Automatic,28812.900445936302,huggingface
Audi,Model C,2002,4.0,186499.0,Petrol,Automatic,18178.2742497661,huggingface
Audi,Model D,2001,2.0,191244.0,Electric,Manual,16753.00913155634,huggingface
Bmw,Model E,2001,4.3,35017.0,Petrol,Automatic,23314.715472898144,huggingface
Toyota,Model A,2021,1.2,114383.0,Petrol,Manual,26698.11541324706,huggingface
Toyota,Model E,2006,2.2,20242.0,Diesel,Automatic,24949.653046626278,huggingface
Bmw,Model C,2003,3.2,194501.0,Diesel,Manual,18111.591890798343,huggingface
Bmw,Model B,2016,2.8,116313.0,Diesel,Automatic,27054.64256866329,huggingface
Bmw,Model B,2005,2.9,199357.0,Diesel,Automatic,14329.67148153487,huggingface
Honda,Model E,2006,3.8,97544.0,Petrol,Manual,25899.80470055666,huggingface
Toyota,Model B,2019,1.7,100151.0,Diesel,Manual,24941.281626156164,huggingface
Honda,Model E,2005,4.4,112457.0,Diesel,Manual,22314.579018855547,huggingface
Bmw,Model C,2008,2.5,8770.0,Diesel,Manual,27662.896292966525,huggingface
Toyota,Model B,2019,4.3,132208.0,Electric,Manual,29667.398425823147,huggingface
Honda,Model A,2003,2.3,11602.0,Diesel,Automatic,22923.48739589334,huggingface
Honda,Model E,2004,3.1,101437.0,Petrol,Manual,21350.90929584292,huggingface
Bmw,Model B,2018,2.6,10466.0,Petrol,Manual,31210.11848518225,huggingface
Toyota,Model C,2009,3.4,141485.0,Diesel,Manual,26319.263287181417,huggingface
Bmw,Model C,2017,1.6,177147.0,Electric,Automatic,22470.25618878037,huggingface
Toyota,Model A,2014,2.4,132229.0,Electric,Manual,23871.81072157835,huggingface
Audi,Model C,2000,1.2,138524.0,Electric,Automatic,15991.31971715208,huggingface
Ford,Model C,2004,3.1,26225.0,Electric,Manual,25511.19949701605,huggingface
Ford,Model B,2004,4.4,40043.0,Diesel,Manual,27278.389831655168,huggingface
Ford,Model E,2007,1.2,145550.0,Diesel,Manual,19489.09802404444,huggingface
Bmw,Model D,2021,3.3,87333.0,Petrol,Automatic,30345.28141377152,huggingface
Audi,Model C,2021,3.7,168212.0,Petrol,Manual,26444.09314915644,huggingface
Toyota,Model C,2021,1.7,136683.0,Electric,Manual,27377.705119207563,huggingface
Honda,Model D,2019,2.0,161238.0,Electric,Automatic,24765.725257982576,huggingface
Toyota,Model C,2014,1.7,149779.0,Petrol,Manual,22220.056759134884,huggingface
Honda,Model B,2016,2.0,131305.0,Petrol,Automatic,23733.808493645825,huggingface
Toyota,Model B,2018,1.4,189681.0,Electric,Manual,22507.3820070754,huggingface
Audi,Model D,2012,2.3,171756.0,Petrol,Manual,18271.72464334313,huggingface
Honda,Model C,2021,2.3,65567.0,Electric,Automatic,26947.48920028724,huggingface
Bmw,Model C,2020,3.8,159086.0,Diesel,Manual,27851.55961387168,huggingface
Toyota,Model E,2009,3.8,91483.0,Electric,Manual,27784.915837870474,huggingface
Toyota,Model C,2016,3.8,8951.0,Diesel,Manual,36641.64634989351,huggingface
Honda,Model B,2004,3.0,199811.0,Diesel,Automatic,18105.37479795345,huggingface
Bmw,Model A,2017,2.1,67330.0,Diesel,Manual,26488.32915874415,huggingface
Bmw,Model A,2016,2.4,62831.0,Petrol,Manual,26829.232399624758,huggingface
Audi,Model A,2003,2.1,197369.0,Petrol,Automatic,17252.49249931162,huggingface
Bmw,Model A,2021,3.0,28936.0,Electric,Manual,35864.12199326096,huggingface
Bmw,Model C,2006,4.3,194774.0,Diesel,Manual,21960.7399871769,huggingface
Bmw,Model C,2004,2.0,15574.0,Electric,Manual,26062.43366413462,huggingface
Ford,Model E,2007,2.6,98585.0,Diesel,Automatic,23108.23689448653,huggingface
Audi,Model C,2007,3.3,135143.0,Diesel,Manual,21926.489726269487,huggingface
Toyota,Model A,2010,4.0,152081.0,Electric,Manual,24075.934196359583,huggingface
Honda,Model D,2008,1.9,159703.0,Electric,Automatic,20089.62167341509,huggingface
Toyota,Model D,2018,2.0,22362.0,Electric,Automatic,31356.16550887473,huggingface
Audi,Model B,2018,4.1,161772.0,Electric,Automatic,24180.472496111128,huggingface
Honda,Model B,2008,1.3,47105.0,Petrol,Manual,25009.897321120847,huggingface
Audi,Model C,2019,3.1,162304.0,Diesel,Automatic,27756.526114440312,huggingface
Bmw,Model D,2016,4.0,41775.0,Diesel,Manual,33563.01001100709,huggingface
Honda,Model A,2015,4.2,184783.0,Petrol,Manual,28479.222700822225,huggingface
Bmw,Model A,2006,1.0,17854.0,Diesel,Automatic,21492.164169639826,huggingface
Toyota,Model A,2021,2.3,128362.0,Petrol,Manual,25549.65528482708,huggingface
Toyota,Model C,2002,1.9,68823.0,Diesel,Automatic,21360.75049358196,huggingface
Honda,Model C,2020,3.0,46782.0,Petrol,Automatic,31147.340369006568,huggingface
Honda,Model E,2018,3.2,22090.0,Petrol,Automatic,36628.51877339648,huggingface
Audi,Model A,2007,4.5,27161.0,Diesel,Automatic,28755.54357808636,huggingface
Audi,Model A,2004,2.8,147966.0,Diesel,Manual,17764.532115278176,huggingface
Bmw,Model C,2005,2.9,106265.0,Diesel,Manual,21181.07438874269,huggingface
Honda,Model C,2001,2.5,46300.0,Electric,Manual,21590.52797745537,huggingface
Toyota,Model E,2018,1.5,90666.0,Diesel,Automatic,25729.438437642475,huggingface
Audi,Model E,2012,2.1,44665.0,Diesel,Automatic,26440.49784900173,huggingface
Audi,Model B,2005,1.9,170624.0,Diesel,Manual,16044.192917657743,huggingface
Toyota,Model D,2005,3.8,196360.0,Electric,Automatic,16170.380623870697,huggingface
Audi,Model A,2001,2.9,189722.0,Diesel,Manual,16823.178405454728,huggingface
Bmw,Model A,2004,2.0,93254.0,Petrol,Automatic,19465.827251426766,huggingface
Honda,Model E,2010,2.7,54645.0,Petrol,Automatic,26361.74018324848,huggingface
Toyota,Model E,2010,1.8,114946.0,Electric,Manual,19424.51290667281,huggingface
Honda,Model B,2013,1.6,170428.0,Electric,Manual,17129.6008376267,huggingface
Audi,Model D,2012,4.0,42184.0,Electric,Manual,30702.75029275445,huggingface
Audi,Model B,2007,4.3,50817.0,Electric,Automatic,31668.63587730449,huggingface
Toyota,Model D,2014,1.3,34633.0,Electric,Manual,29909.5832948126,huggingface
Bmw,Model A,2011,3.7,48720.0,Diesel,Manual,27646.729908677346,huggingface
Ford,Model B,2002,2.6,66301.0,Petrol,Automatic,20404.872230986926,huggingface
Toyota,Model E,2020,2.4,155712.0,Petrol,Automatic,26354.767734025576,huggingface
Ford,Model B,2004,3.4,51857.0,Diesel,Automatic,19875.0615596039,huggingface
Ford,Model B,2005,1.9,5765.0,Electric,Automatic,23839.585778865257,huggingface
Bmw,Model A,2001,1.1,80872.0,Diesel,Automatic,18101.614454414183,huggingface
Ford,Model E,2007,1.7,30761.0,Electric,Manual,23902.2788856175,huggingface
Ford,Model E,2004,1.6,37742.0,Petrol,Automatic,18514.333904170184,huggingface
Bmw,Model C,2021,1.1,132455.0,Petrol,Manual,21419.79480210611,huggingface
Ford,Model C,2016,2.1,194307.0,Electric,Automatic,18622.422378541632,huggingface
Ford,Model C,2001,2.7,15458.0,Diesel,Automatic,23972.155067661504,huggingface
Ford,Model A,2010,3.6,133507.0,Electric,Automatic,22852.77615859586,huggingface
Toyota,Model B,2003,2.1,159808.0,Electric,Automatic,19823.93890526586,huggingface
Toyota,Model E,2010,1.7,29992.0,Petrol,Manual,23227.412971911974,huggingface
Toyota,Model E,2008,1.8,57566.0,Electric,Manual,26177.64188611073,huggingface
Bmw,Model B,2005,4.1,171764.0,Diesel,Manual,18705.789610280564,huggingface
